Book Title	Author	Edition	Product Type	Copyright Year	Copyright Holder	Print ISBN	Electronic ISBN	Language	Language Collection	eBook Package	English Package Name	German Package Name	Series Print ISSN	Series Electronic ISSN	Series Title	Volume Number	DOI URL	OpenURL	Subject Classification	Publisher	Imprint	epub	pdf
Sport	Arne Güllich, Michael Krüger	2013	German textbook	2013	Springer-Verlag Berlin Heidelberg	978-3-642-37545-3	978-3-642-37546-0	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften	2627-1451	2627-146X	Bachelor		http://doi.org/10.1007/978-3-642-37546-0	http://link.springer.com/openurl?genre=book&isbn=978-3-642-37546-0	Life Sciences; Sport; Sports Medicine; Teaching and Teacher Education; Education, general; Psychology, general; Childhood, Adolescence and Society	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-642-37546-0.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-642-37546-0.pdf
Kognitive Neurowissenschaften	Hans-Otto Karnath, Peter Thier	3. Aufl. 2012	German textbook	2012	Springer-Verlag Berlin Heidelberg	978-3-642-25526-7	978-3-642-25527-4	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-25527-4	http://link.springer.com/openurl?genre=book&isbn=978-3-642-25527-4	Psychology; Neuropsychology; Neurosciences; Biological Psychology; Clinical Psychology; Neurology	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-642-25527-4.pdf
Statistik für Human- und Sozialwissenschaftler	Jürgen Bortz, Christof Schuster	7. Aufl. 2010	German textbook	2010	Springer-Verlag Berlin Heidelberg	978-3-642-12769-4	978-3-642-12770-0	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-12770-0	http://link.springer.com/openurl?genre=book&isbn=978-3-642-12770-0	Psychology; Psychological Methods/Evaluation; Methodology of the Social Sciences; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Probability Theory and Stochastic Processes	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-642-12770-0.pdf
Entwicklungspsychologie des Kindes- und Jugendalters für Bachelor	Arnold Lohaus, Marc Vierhaus	3., überarb. Aufl. 2015	German textbook	2015	Springer-Verlag Berlin Heidelberg	978-3-662-45528-9	978-3-662-45529-6	DE	German	40904	Psychology	Psychologie	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-45529-6	http://link.springer.com/openurl?genre=book&isbn=978-3-662-45529-6	Psychology; Developmental Psychology; Pedagogic Psychology; Child and School Psychology	Springer Berlin Heidelberg	Springer		https://link.springer.com/content/pdf/10.1007%2F978-3-662-45529-6.pdf
Arbeits- und Organisationspsychologie	Friedemann W. Nerdinger, Gerhard Blickle, Niclas Schaper	3. Aufl. 2014	German textbook	2014	Springer-Verlag Berlin Heidelberg	978-3-642-41129-8	978-3-642-41130-4	DE	German	11776	Humanities and Social Sciences	Geistes- und Sozialwissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-642-41130-4	http://link.springer.com/openurl?genre=book&isbn=978-3-642-41130-4	Psychology; Industrial and Organizational Psychology; Organization; Industrial Organization; Personality and Social Psychology; Human Resource Management	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-642-41130-4.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-642-41130-4.pdf
Physik für Ingenieure	Ekbert Hering, Rolf Martin, Martin Stohrer	12. Aufl. 2016	German textbook	2016	Springer-Verlag GmbH Deutschland	978-3-662-49354-0	978-3-662-49355-7	DE	German	11774	Computer Science & Engineering	Technik & Informatik					http://doi.org/10.1007/978-3-662-49355-7	http://link.springer.com/openurl?genre=book&isbn=978-3-662-49355-7	Engineering; Theoretical and Applied Mechanics; Engineering Thermodynamics, Heat and Mass Transfer; Applied and Technical Physics; Classical and Continuum Physics; Condensed Matter Physics	Springer Berlin Heidelberg	Springer Vieweg	https://link.springer.com/download/epub/10.1007%2F978-3-662-49355-7.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-49355-7.pdf
Neurologie	Werner Hacke	14. Aufl. 2016	German textbook	2016	Springer-Verlag Berlin Heidelberg	978-3-662-46891-3	978-3-662-46892-0	DE	German	11773	Medicine	Medizin	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-46892-0	http://link.springer.com/openurl?genre=book&isbn=978-3-662-46892-0	Medicine & Public Health; Neurology	Springer Berlin Heidelberg	Springer	https://link.springer.com/download/epub/10.1007%2F978-3-662-46892-0.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-46892-0.pdf
Experimentalphysik 1	Wolfgang Demtröder	8. Aufl. 2018	Undergraduate textbook	2018	Springer-Verlag GmbH Deutschland	978-3-662-54846-2	978-3-662-54847-9	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften	0937-7433	2512-5214	Springer-Lehrbuch		http://doi.org/10.1007/978-3-662-54847-9	http://link.springer.com/openurl?genre=book&isbn=978-3-662-54847-9	Physics; Classical Mechanics; Thermodynamics; Fluid- and Aerodynamics; Acoustics	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-54847-9.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-54847-9.pdf
Arbeitsbuch Höhere Mathematik in Rezepten	Christian Karpfinger	3. Aufl. 2018	German textbook	2018	Springer-Verlag GmbH Deutschland	978-3-662-54810-3	978-3-662-54811-0	DE	German	11777	Life Science and Basic Disciplines	Natur- und Basiswissenschaften					http://doi.org/10.1007/978-3-662-54811-0	http://link.springer.com/openurl?genre=book&isbn=978-3-662-54811-0	Mathematics; Analysis; Linear and Multilinear Algebras, Matrix Theory	Springer Berlin Heidelberg	Springer Spektrum	https://link.springer.com/download/epub/10.1007%2F978-3-662-54811-0.epub	https://link.springer.com/content/pdf/10.1007%2F978-3-662-54811-0.pdf
Logistiksysteme	Hans-Christian Pfohl	9. Aufl. 2018	Graduate/advanced undergraduate textbook	2018	Springer-Verlag GmbH Deutschland	978-3-662-56227-7	978-3-662-56228-4	DE	German	11774	Computer Science & Engineering	Technik & Informatik					http://doi.org/10.1007/978-3-662-56228-4	http://link.springer.com/openurl?genre=book&isbn=978-3-662-56228-4	Engineering; Engineering Economics, Organization, Logistics, Marketing; Operations Management; Innovation/Technology Management	Springer Berlin Heidelberg	Springer Vieweg		https://link.springer.com/content/pdf/10.1007%2F978-3-662-56228-4.pdf
